"","pets","miles"
"1",1,"30"
"2",4,"42"
"3",0,"65"
"4",0,"65"
"5",2,"30"
"6",4,"4"
"7",2,"1,836.8"
"8",2,"5,000"
"9",2,"5,040"
"10",2,"1,836.8"
"11",2,"1,836.8"
"12",3,"68"
"13",0,"100"
"14",1,"11"
"15",0,"100"
"16",1,"80"
"17",1,"80"
"18",3,"65"
"19",1,"135"
"20",1,"135"
"21",1,"45"
"22",1,"45"
"23",1,"38"
"24",3,"194"
"25",1,"38"
"26",1,"38"
"27",3,"194"
"28",3,"194"
"29",4,"215"
"30",4,"42"
"31",3,"148"
"32",4,"42"
"33",3,"148"
"34",2,"28"
"35",1,"10"
"36",2,"52"
"37",0,"100"
"38",1,"50"
"39",1,"10"
"40",1,"93.1"
"41",3,"165"
"42",1,"77"
"43",1,"93.1"
"44",1,"227"
"45",2,"52"
"46",1,"50"
"47",1,"50"
"48",1,"82"
"49",1,"82"
"50",2,"47"
"51",2,"47"
"52",2,"60"
"53",3,"65"
"54",4,"82"
"55",4,"82"
"56",2,"153"
"57",6,"81"
"58",6,"81"
"59",1,"52"
"60",3,"115"
"61",4,"87"
"62",4,"87"
"63",4,"87"
"64",0,"63"
"65",0,"63"
"66",0,"63"
"67",3,"115"
"68",3,"97"
"69",33,"44"
"70",2,"85"
"71",3,"97"
"72",2,"77"
"73",0,"50"
"74",2,"153"
"75",2,"44"
"76",3,"53"
"77",3,"53"
"78",0,"607"
"79",3,"165"
"80",1,"111"
"81",1,"100"
"82",1,"111"
"83",1,"111"
"84",3,"87"
"85",2,"694"
"86",2,"50"
"87",2,"694"
"88",3,"44"
"89",2,"73"
"90",3,"44"
"91",2,"1,900"
"92",4,"21.7"
"93",2,"77"
"94",2,"44"
"95",2,"20"
"96",2,"693"
"97",2,"1,900"
"98",0,"57"
"99",1,"35"
"100",1,"35"
"101",0,"57"
"102",3,"88"
"103",3,"87"
"104",2,"100"
"105",2,"100"
"106",1,"60"
"107",1,"60"
"108",1,"34"
"109",3,"60"
"110",1,"60"
"111",3,"60"
"112",1,"34"
"113",1,"34"
"114",2,"8"
"115",2,"30"
"116",2,"8"
"117",2,"8"
"118",1,"74"
"119",2,"30"
"120",3,"10"
"121",3,"10"
"122",1,"100"
"123",1,"60"
"124",1,"100"
"125",3,"10"
"126",2,"73"
"127",1,"74"
"128",4,"64.2"
"129",2,"400"
"130",2,"400"
"131",1,"120"
"132",1,"13"
"133",2,"20"
"134",1,"200"
"135",1,"200"
"136",1,"120"
"137",1,"13"
"138",1,"200"
"139",1,"50"
"140",1,"51"
"141",1,"50"
"142",0,"7.2"
"143",0,"7.2"
"144",1,"100"
"145",6,"14"
"146",1,"100"
"147",1,"136"
"148",0,"74.2"
"149",1,"50"
"150",1,"136"
"151",1,"150"
"152",0,"70"
"153",1,"40"
"154",0,"74.2"
"155",3,"135"
"156",0,"70"
"157",1,"150"
